Date,Total,Off Peak Consumption,Mid Peak Consumption,On Peak Consumption,Off Peak Rate,Mid Peak Rate,On Peak Rate,Total Consumption
2019-12-31,65.734,234.76533333333333,67.12766666666667,88.43933333333332,0.101,0.208,0.144,390.33233333333334
2020-01-31,69.84058823529412,259.7929411764706,70.70058823529412,94.25294117647059,0.101,0.208,0.144,424.7464705882353
2020-02-29,68.86807692307693,231.14153846153846,70.09192307692308,100.40846153846154,0.101,0.208,0.144,401.6419230769231
2020-03-31,60.59935483870967,210.90322580645162,57.41451612903226,81.61774193548388,0.101,0.208,0.144,349.93548387096774
2020-04-30,73.53848484848484,330.1663636363636,87.21545454545455,100.70181818181818,0.101,0.1853030303030303,0.13487878787878788,518.0836363636364
2020-05-31,88.1711111111111,479.3081481481481,119.89888888888889,124.83222222222223,0.101,0.101,0.101,724.0392592592593
2020-06-30,92.30967741935484,511.65612903225804,100.42548387096774,95.63129032258064,0.10796774193548388,0.10796774193548388,0.10796774193548388,707.7129032258064
2020-07-31,139.14117647058822,749.65,134.3564705882353,132.8894117647059,0.128,0.128,0.128,1016.8958823529413
2020-08-31,160.1732142857143,858.6860714285715,153.95642857142857,182.10642857142858,0.128,0.128,0.128,1194.7489285714287
2020-09-30,119.37333333333333,589.62,114.08757575757576,145.90363636363637,0.128,0.128,0.128,849.6112121212121
2020-10-31,113.1403448275862,553.5493103448276,119.72620689655172,123.07241379310345,0.128,0.128,0.128,796.3479310344828
2020-11-30,99.92357142857144,426.93142857142857,116.37285714285714,133.56857142857143,0.12307142857142857,0.14707142857142858,0.13271428571428573,676.8728571428571
2020-12-31,104.70942857142857,414.5702857142857,124.68371428571429,153.16628571428572,0.105,0.217,0.15,692.4202857142857
2021-01-31,104.42172413793102,405.28241379310344,134.51689655172413,167.45241379310343,0.10155172413793104,0.19424137931034482,0.13879310344827586,707.2517241379311
2021-02-28,81.99,354.60925925925926,127.11888888888889,162.3111111111111,0.085,0.085,0.085,644.0392592592592
2021-03-31,87.77764705882353,352.1964705882353,109.82294117647058,161.8935294117647,0.085,0.10641176470588236,0.093,623.9129411764706
2021-04-30,108.19666666666666,425.5346666666667,131.406,172.12066666666666,0.085,0.176,0.119,729.0613333333333
2021-05-31,101.75321428571428,369.3510714285714,142.86,157.26500000000001,0.08446428571428571,0.17492857142857143,0.11792857142857142,669.4760714285715
2021-06-30,93.83515151515151,341.8909090909091,145.25181818181818,124.96212121212122,0.082,0.17,0.113,612.1048484848485
2021-07-31,102.43166666666667,442.4166666666667,145.2733333333333,117.35666666666667,0.082,0.17,0.113,705.0466666666666
2021-08-31,94.95413793103448,373.52758620689656,126.9148275862069,124.05620689655173,0.082,0.17,0.113,624.4986206896551
2021-09-30,97.81407407407407,425.61925925925925,129.61185185185184,111.00740740740741,0.082,0.15522222222222223,0.12777777777777777,666.2385185185185
2021-10-31,148.18761904761905,413.3752380952381,152.9,112.47904761904762,0.082,0.113,0.17,678.7542857142857
2021-11-30,127.9744827586207,362.231724137931,122.2103448275862,150.21862068965518,0.082,0.113,0.17,634.6606896551724
2021-12-31,113.03142857142856,547.4528571428572,115.44357142857143,128.5992857142857,0.082,0.113,0.17,791.4957142857143
